Product or Part number	Frequency (MHz)	Nonvolatile memory (kByte)	RAM (kByte)	ADC type	Number of ADC channels	Number of GPIOs	UART	USB	Number of I2Cs	SPI	Number of comparator channels	Timers - 16-bit	Bootloader (BSL)	Special I/O	Operating temperature range (°C)	Price|Quantity (USD)	Package type	Pin count	Package area (mm^2)	Package size (L x W) (mm)	Features
MSP430F47127	16.00	56.00	4.00	16-bit Sigma Delta	7	72	2	No	2	2	2	2	UART		-40 to 85	3.95	LQFP	100	256	16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F47163	16.00	92.00	4.00	16-bit Sigma Delta	3	72	2	No	2	4	2	2	UART		-40 to 85	4.29	LQFP	100	256	16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F47166	16.00	92.00	4.00	16-bit Sigma Delta	6	68	2	No	2	4	2	2	UART		-40 to 85	5.32	LQFP	100	256	16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F47167	16.00	92.00	4.00	16-bit Sigma Delta	7	68	2	No	2	4	2	2	UART		-40 to 85	5.68	LQFP	100	256	16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F47173	16.00	92.00	8.00	16-bit Sigma Delta	3	72	2	No	2	4	2	2	UART		-40 to 85	4.58	LQFP	100	256	16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F47176	16.00	92.00	8.00	16-bit Sigma Delta	6	68	2	No	2	4	2	2	UART		-40 to 85	5.17	LQFP	100	256	16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F47177	16.00	92.00	8.00	16-bit Sigma Delta	7	68	2	No	2	4	2	2	UART		-40 to 85	6.07	LQFP	100	256	16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F47183	16.00	116.00	8.00	16-bit Sigma Delta	3	72	2	No	2	4	2	2	UART		-40 to 85	4.46	LQFP	100	256	16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F47186	16.00	116.00	8.00	16-bit Sigma Delta	6	68	2	No	2	4	2	2	UART		-40 to 85	6.07	LQFP	100	256	16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F47187	16.00	116.00	8.00	16-bit Sigma Delta	7	68	2	No	2	4	2	2	UART		-40 to 85	3.76	LQFP	100	256	16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F47193	16.00	120.00	4.00	16-bit Sigma Delta	3	72	2	No	2	4	2	2	UART		-40 to 85	5.17	LQFP	100	256	16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F47196	16.00	120.00	4.00	16-bit Sigma Delta	6	68	2	No	2	4	2	2	UART		-40 to 85	3.99	LQFP	100	256	16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F47197	16.00	120.00	4.00	16-bit Sigma Delta	7	68	2	No	2	4	2	2	UART		-40 to 85	5.77	LQFP	100	256	16 x 16	Advanced sensing,LCD,Real-time clock
MSP430F477	8.00	32.00	2.00	16-bit Sigma Delta	5	48	1	No	1	2	2	2	UART		-40 to 85	5.17	JRBGA,LQFP,NFBGA	80,113	49,196	14 x 14,7 x 7	Advanced sensing,DAC,LCD,Real-time clock
MSP430F478	8.00	48.00	2.00	16-bit Sigma Delta	5	48	1	No	1	2	2	2	UART		-40 to 85	5.39	JRBGA,LQFP,NFBGA	80,113	49,196	14 x 14,7 x 7	Advanced sensing,DAC,LCD,Real-time clock
MSP430F4783	16.00	48.00	2.00	16-bit Sigma Delta	3	72	2	No	2	2	2	2	UART		-40 to 85	3.41	LQFP	100	256	16 x 16	Advanced sensing,LCD
MSP430F4784	16.00	48.00	2.00	16-bit Sigma Delta	4	72	2	No	2	2	2	2	UART		-40 to 85	3.41	LQFP	100	256	16 x 16	Advanced sensing,LCD
